wl;UV_control;Dor_paint;UV_paint;Dor_control
546,17;50,242;8,925;18,305;15,696
546,51;50,41;8,94;18,332;15,739
546,85;50,585;8,959;18,365;15,778
547,2;50,716;8,976;18,398;15,804
547,54;50,79;8,999;18,451;15,832
547,88;50,862;9,019;18,484;15,86
548,22;50,945;9,05;18,522;15,9
548,57;51,034;9,076;18,55;15,968
548,91;51,114;9,105;18,574;16,008
549,25;51,265;9,121;18,582;16,077
549,59;51,424;9,142;18,612;16,147
549,94;51,609;9,171;18,65;16,202
550,28;51,808;9,2;18,696;16,269
550,62;51,998;9,229;18,731;16,325
550,96;52,127;9,254;18,773;16,357
551,31;52,248;9,28;18,817;16,391
551,65;52,273;9,309;18,853;16,427
551,99;52,32;9,339;18,904;16,46
552,33;52,376;9,343;18,924;16,47
552,67;52,466;9,356;18,96;16,479
553,02;52,5;9,378;18,996;16,506
553,36;52,516;9,407;19,015;16,526
553,7;52,56;9,436;19,06;16,549
554,04;52,601;9,455;19,08;16,586
554,38;52,66;9,479;19,112;16,617
554,73;52,758;9,49;19,138;16,642
555,07;52,852;9,509;19,173;16,682
555,41;52,965;9,525;19,21;16,726
555,75;53,109;9,57;19,27;16,766
556,09;53,228;9,581;19,301;16,792
556,43;53,308;9,615;19,37;16,821
556,78;53,415;9,648;19,436;16,86
557,12;53,455;9,658;19,474;16,886
557,46;53,496;9,673;19,512;16,898
557,8;53,499;9,703;19,544;16,911
558,14;53,527;9,742;19,591;16,94
558,48;53,553;9,782;19,631;16,971
558,82;53,626;9,786;19,669;16,981
559,17;53,667;9,795;19,684;16,985
559,51;53,678;9,822;19,713;17,012
559,85;53,644;9,845;19,752;17,041
560,19;53,66;9,878;19,799;17,053
560,53;53,662;9,914;19,863;17,062
560,87;53,624;9,957;19,925;17,069
561,21;53,563;10,004;19,975;17,046
561,55;53,488;10,044;20,004;17,031
561,89;53,397;10,084;20,037;17,027
562,24;53,34;10,113;20,069;17,018
562,58;53,232;10,152;20,082;16,993
562,92;53,182;10,162;20,098;16,994
563,26;53,184;10,202;20,164;16,998
563,6;53,186;10,217;20,191;16,995
563,94;53,191;10,219;20,207;16,999
564,28;53,203;10,241;20,255;17,006
564,62;53,213;10,266;20,297;17,012
564,96;53,235;10,293;20,35;17,02
565,3;53,245;10,302;20,371;17,006
565,64;53,23;10,306;20,417;16,998
565,98;53,188;10,339;20,448;16,997
566,32;53,17;10,38;20,499;16,986
566,66;53,132;10,41;20,538;16,978
567;53,104;10,438;20,586;16,952
567,35;53,035;10,46;20,63;16,917
567,69;52,995;10,462;20,643;16,885
568,03;52,972;10,482;20,675;16,867
568,37;52,977;10,488;20,7;16,854
568,71;52,996;10,504;20,731;16,863
569,05;53,02;10,517;20,768;16,853
569,39;53,025;10,537;20,799;16,862
569,73;53,081;10,538;20,85;16,88
570,07;53,123;10,554;20,9;16,87
570,41;53,131;10,572;20,918;16,881
570,75;53,116;10,613;20,963;16,882
571,09;53,078;10,651;21,001;16,857
571,43;53,048;10,677;21,019;16,853
571,77;53,043;10,695;21,035;16,846
572,11;53,067;10,715;21,054;16,848
572,45;53,083;10,745;21,085;16,855
572,79;53,11;10,776;21,118;16,856
573,12;53,156;10,795;21,164;16,86
573,46;53,196;10,818;21,189;16,876
573,8;53,243;10,825;21,225;16,887
574,14;53,325;10,847;21,24;16,912
574,48;53,446;10,858;21,251;16,954
574,82;53,568;10,874;21,28;16,99
575,16;53,701;10,886;21,305;17,036
575,5;53,817;10,9;21,346;17,08
575,84;53,944;10,907;21,396;17,106
576,18;54,089;10,933;21,44;17,151
576,52;54,22;10,984;21,49;17,199
576,86;54,326;11,01;21,516;17,222
577,2;54,388;11,015;21,539;17,24
577,54;54,471;11,021;21,556;17,251
577,88;54,573;11,033;21,577;17,295
578,21;54,685;11,051;21,619;17,33
578,55;54,819;11,083;21,652;17,356
578,89;54,9;11,082;21,686;17,394
579,23;54,969;11,101;21,72;17,434
579,57;55,042;11,134;21,769;17,466
579,91;55,12;11,148;21,782;17,51
580,25;55,171;11,151;21,782;17,521
580,59;55,223;11,154;21,811;17,546
580,93;55,26;11,196;21,852;17,575
581,26;55,271;11,201;21,862;17,555
581,6;55,317;11,221;21,925;17,564
581,94;55,338;11,27;21,977;17,598
582,28;55,378;11,291;21,991;17,591
582,62;55,422;11,329;22,025;17,609
582,96;55,398;11,379;22,038;17,591
583,3;55,406;11,404;22,056;17,604
583,63;55,389;11,37;22,093;17,58
583,97;55,371;11,388;22,14;17,577
584,31;55,375;11,439;22,184;17,575
584,65;55,37;11,481;22,231;17,579
584,99;55,319;11,504;22,27;17,537
585,33;55,29;11,539;22,304;17,548
585,66;55,246;11,558;22,32;17,512
586;55,227;11,621;22,357;17,519
586,34;55,16;11,647;22,378;17,485
586,68;55,085;11,671;22,401;17,473
587,02;55,018;11,715;22,46;17,462
587,35;55,002;11,751;22,52;17,466
587,69;54,966;11,79;22,574;17,474
588,03;54,964;11,79;22,585;17,46
588,37;54,965;11,82;22,64;17,488
588,7;54,898;11,853;22,659;17,472
589,04;54,863;11,858;22,687;17,45
589,38;54,783;11,884;22,717;17,434
589,72;54,692;11,912;22,738;17,412
590,06;54,597;11,928;22,777;17,418
590,39;54,47;11,958;22,824;17,406
590,73;54,33;12,012;22,84;17,377
591,07;54,234;12,032;22,844;17,362
591,41;54,106;12,046;22,873;17,362
591,74;53,976;12,057;22,905;17,316
592,08;53,86;12,075;22,934;17,291
592,42;53,681;12,087;22,98;17,24
592,75;53,516;12,117;23,025;17,214
593,09;53,33;12,151;23,073;17,194
593,43;53,192;12,191;23,137;17,186
593,77;53,109;12,226;23,186;17,174
594,1;53,045;12,222;23,205;17,152
594,44;52,996;12,255;23,254;17,158
594,78;52,965;12,273;23,254;17,144
595,11;52,922;12,307;23,286;17,154
595,45;52,875;12,337;23,316;17,173
595,79;52,842;12,369;23,347;17,192
596,13;52,816;12,4;23,365;17,211
596,46;52,774;12,448;23,397;17,227
596,8;52,773;12,471;23,466;17,25
597,14;52,771;12,517;23,52;17,281
597,47;52,776;12,541;23,563;17,292
597,81;52,822;12,567;23,606;17,329
598,15;52,797;12,601;23,663;17,321
598,48;52,777;12,661;23,725;17,319
598,82;52,733;12,688;23,766;17,344
599,16;52,702;12,735;23,82;17,357
599,49;52,662;12,781;23,848;17,374
599,83;52,625;12,829;23,919;17,389
600,16;52,592;12,857;23,986;17,374
600,5;52,532;12,896;24,039;17,369
600,84;52,438;12,924;24,073;17,371
601,17;52,35;12,981;24,143;17,382
601,51;52,23;13,01;24,159;17,364
601,85;52,128;13,031;24,202;17,36
602,18;52,061;13,076;24,257;17,367
602,52;52;13,103;24,301;17,354
602,85;51,943;13,114;24,308;17,339
603,19;51,91;13,162;24,36;17,328
603,53;51,867;13,171;24,405;17,333
603,86;51,801;13,209;24,417;17,326
604,2;51,755;13,231;24,443;17,284
604,53;51,666;13,259;24,464;17,276
604,87;51,525;13,301;24,478;17,243
605,2;51,421;13,342;24,514;17,245
605,54;51,342;13,351;24,505;17,227
605,88;51,258;13,392;24,538;17,235
606,21;51,241;13,424;24,583;17,26
606,55;51,285;13,456;24,627;17,277
606,88;51,334;13,459;24,632;17,306
607,22;51,374;13,471;24,622;17,329
607,55;51,422;13,494;24,621;17,371
607,89;51,487;13,525;24,638;17,383
608,22;51,527;13,556;24,648;17,408
608,56;51,562;13,555;24,683;17,421
608,89;51,583;13,575;24,72;17,457
609,23;51,581;13,583;24,713;17,465
609,57;51,579;13,6;24,714;17,452
609,9;51,536;13,605;24,745;17,443
610,24;51,469;13,601;24,765;17,441
610,57;51,484;13,591;24,771;17,429
610,91;51,514;13,575;24,784;17,431
611,24;51,545;13,586;24,802;17,471
611,58;51,606;13,614;24,817;17,481
611,91;51,723;13,608;24,856;17,518
612,25;51,798;13,611;24,844;17,552
612,58;51,884;13,623;24,894;17,612
612,91;52,03;13,626;24,907;17,649
613,25;52,09;13,619;24,874;17,655
613,58;52,117;13,617;24,854;17,684
613,92;52,094;13,652;24,882;17,708
614,25;52,101;13,684;24,934;17,735
614,59;52,105;13,665;24,968;17,709
614,92;52,054;13,693;25,024;17,734
615,26;52,017;13,69;25,037;17,73
615,59;52,009;13,742;25,04;17,744
615,93;51,953;13,77;25,068;17,731
616,26;51,885;13,771;25,091;17,714
616,59;51,759;13,768;25,09;17,725
616,93;51,689;13,809;25,113;17,722
617,26;51,627;13,82;25,107;17,714
617,6;51,527;13,873;25,111;17,723
617,93;51,397;13,909;25,114;17,73
618,26;51,252;13,91;25,09;17,702
618,6;51,152;13,903;25,097;17,73
618,93;51,01;13,901;25,089;17,717
619,27;50,908;13,94;25,112;17,71
619,6;50,811;13,936;25,096;17,716
619,93;50,683;13,97;25,107;17,721
620,27;50,593;13,996;25,123;17,712
620,6;50,47;14,003;25,153;17,683
620,94;50,342;14,024;25,168;17,676
621,27;50,173;14,06;25,192;17,645
621,6;49,977;14,071;25,206;17,611
621,94;49,814;14,087;25,199;17,569
622,27;49,588;14,101;25,212;17,507
622,6;49,325;14,123;25,22;17,483
622,94;49,067;14,156;25,21;17,438
623,27;48,833;14,179;25,2;17,41
623,6;48,689;14,224;25,246;17,406
623,94;48,572;14,233;25,236;17,426
624,27;48,471;14,252;25,243;17,425
624,6;48,354;14,28;25,257;17,398
624,94;48,231;14,29;25,239;17,392
625,27;48,148;14,307;25,256;17,417
625,6;48,043;14,317;25,276;17,409
625,94;47,975;14,333;25,281;17,416
626,27;47,925;14,328;25,289;17,427
626,6;47,855;14,349;25,315;17,422
626,94;47,782;14,334;25,305;17,418
627,27;47,668;14,331;25,304;17,401
627,6;47,611;14,357;25,314;17,424
627,93;47,563;14,37;25,312;17,438
628,27;47,577;14,385;25,276;17,459
628,6;47,554;14,431;25,263;17,493
628,93;47,511;14,429;25,268;17,518
629,26;47,47;14,447;25,242;17,553
629,6;47,445;14,462;25,26;17,566
629,93;47,417;14,463;25,265;17,557
630,26;47,37;14,499;25,27;17,592
630,59;47,264;14,498;25,231;17,566
630,93;47,148;14,5;25,239;17,563
631,26;46,965;14,477;25,202;17,543
631,59;46,845;14,484;25,208;17,574
631,92;46,731;14,491;25,216;17,546
632,26;46,617;14,489;25,185;17,506
632,59;46,497;14,504;25,155;17,48
632,92;46,377;14,547;25,168;17,493
633,25;46,241;14,577;25,161;17,476
633,58;46,1;14,596;25,16;17,445
633,92;45,948;14,613;25,157;17,42
634,25;45,84;14,637;25,149;17,443
634,58;45,702;14,656;25,127;17,438
634,91;45,573;14,671;25,115;17,438
635,24;45,398;14,668;25,108;17,434
635,58;45,303;14,677;25,098;17,464
635,91;45,19;14,682;25,075;17,469
636,24;45,098;14,708;25,093;17,508
636,57;45,018;14,704;25,057;17,492
636,9;44,95;14,729;25,031;17,543
637,23;44,891;14,735;25,048;17,549
637,57;44,851;14,772;25,068;17,61
637,9;44,796;14,804;25,061;17,639
638,23;44,751;14,832;25,073;17,678
638,56;44,674;14,805;25,023;17,673
638,89;44,59;14,821;25,012;17,707
639,22;44,486;14,852;25,023;17,75
639,55;44,431;14,881;25,038;17,791
639,89;44,312;14,888;25,025;17,806
640,22;44,225;14,895;25,032;17,823
640,55;44,149;14,877;25,02;17,84
640,88;44,06;14,909;25,004;17,841
641,21;43,946;14,917;25,009;17,838
641,54;43,839;14,947;25,025;17,865
641,87;43,763;14,959;25,031;17,876
642,2;43,669;14,975;25,043;17,879
642,53;43,53;14,954;25,041;17,855
642,86;43,449;15,006;25,075;17,913
643,2;43,357;14,976;25,06;17,88
643,53;43,201;14,999;25,073;17,896
643,86;43,083;14,979;25,04;17,918
644,19;42,994;14,971;24,993;17,951
644,52;42,859;14,933;24,982;17,926
644,85;42,715;14,936;24,968;17,943
645,18;42,609;14,967;24,958;17,932
645,51;42,483;15;24,971;17,927
645,84;42,325;15,017;24,993;17,916
646,17;42,131;15,012;24,964;17,903
646,5;41,913;14,987;24,918;17,863
646,83;41,802;15,054;24,968;17,937
647,16;41,575;14,989;24,858;17,845
647,49;41,389;15,035;24,82;17,861
647,82;41,227;15,048;24,79;17,864
648,15;41,044;15,064;24,77;17,897
648,48;40,851;15,037;24,716;17,873
648,81;40,675;15,021;24,653;17,815
649,14;40,472;14,986;24,605;17,801
649,47;40,315;15;24,583;17,794
649,8;40,117;14,976;24,537;17,74
650,13;39,978;14,992;24,523;17,758
650,46;39,876;15,011;24,521;17,799
650,79;39,669;15,003;24,483;17,736
651,12;39,485;14,989;24,467;17,678
651,45;39,305;15,024;24,406;17,682
651,78;39,14;15,011;24,39;17,648
652,11;38,949;15,005;24,375;17,669
652,44;38,762;14,99;24,331;17,671
652,77;38,632;15,005;24,324;17,703
653,1;38,491;15,001;24,319;17,704
653,43;38,317;14,984;24,261;17,685
653,76;38,081;14,891;24,154;17,567
654,09;37,913;14,951;24,203;17,668
654,42;37,648;14,944;24,166;17,629
654,75;37,388;14,938;24,125;17,627
655,07;37,119;14,907;24,086;17,56
655,4;36,829;14,914;24,043;17,531
655,73;36,488;14,922;24,044;17,507
656,06;36,25;14,944;24,016;17,488
656,39;35,977;14,93;23,95;17,464
656,72;35,785;14,898;23,852;17,443
657,05;35,528;14,909;23,772;17,416
657,38;35,299;14,853;23,688;17,367
657,71;35,18;14,874;23,706;17,407
658,03;35,008;14,901;23,674;17,402
658,36;34,863;14,888;23,629;17,392
658,69;34,709;14,9;23,593;17,412
659,02;34,564;14,878;23,551;17,404
659,35;34,417;14,847;23,518;17,415
659,68;34,256;14,827;23,434;17,409
660,01;34,14;14,834;23,384;17,422
660,34;34,035;14,834;23,363;17,458
660,66;33,981;14,85;23,326;17,448
660,99;33,897;14,835;23,275;17,465
661,32;33,863;14,799;23,214;17,506
661,65;33,845;14,771;23,221;17,521
661,98;33,826;14,761;23,161;17,586
662,3;33,766;14,7;23,113;17,609
662,63;33,774;14,667;23,038;17,679
662,96;33,743;14,664;22,993;17,74
663,29;33,713;14,685;22,985;17,804
663,62;33,615;14,7;22,997;17,858
663,95;33,524;14,693;23,008;17,873
664,27;33,388;14,738;22,981;17,951
664,6;33,244;14,715;22,871;17,935
664,93;33,076;14,704;22,835;17,935
665,26;32,954;14,686;22,809;17,94
665,58;32,833;14,699;22,75;17,913
665,91;32,698;14,735;22,709;17,91
666,24;32,551;14,748;22,668;17,893
666,57;32,387;14,691;22,624;17,872
666,89;32,244;14,657;22,558;17,82
667,22;32,087;14,653;22,523;17,849
667,55;31,922;14,593;22,438;17,89
667,88;31,765;14,517;22,361;17,824
668,2;31,638;14,543;22,327;17,835
668,53;31,455;14,549;22,258;17,855
668,86;31,285;14,558;22,241;17,868
669,19;31,179;14,608;22,212;17,914
669,51;31,046;14,597;22,123;17,9
669,84;30,922;14,551;22,082;17,889
670,17;30,765;14,498;21,972;17,824
670,49;30,652;14,46;21,892;17,817
670,82;30,575;14,44;21,844;17,843
671,15;30,448;14,426;21,796;17,836
671,48;30,317;14,418;21,742;17,832
671,8;30,257;14,401;21,695;17,87
672,13;30,148;14,37;21,604;17,882
672,46;30,007;14,296;21,489;17,849
672,78;29,917;14,261;21,384;17,866
673,11;29,771;14,262;21,299;17,902
673,44;29,682;14,279;21,251;17,889
673,76;29,494;14,272;21,219;17,952
674,09;29,4;14,288;21,157;17,912
674,42;29,206;14,307;21,119;17,904
674,74;29,015;14,37;21,09;17,93
675,07;28,816;14,365;21,039;17,886
675,4;28,606;14,325;20,951;17,812
675,72;28,419;14,342;20,889;17,772
676,05;28,239;14,316;20,825;17,721
676,37;28,003;14,312;20,816;17,695
676,7;27,717;14,279;20,731;17,64
677,03;27,505;14,309;20,729;17,671
677,35;27,266;14,316;20,676;17,623
677,68;27,043;14,305;20,531;17,59
678;26,909;14,261;20,45;17,552
678,33;26,792;14,238;20,401;17,612
678,66;26,64;14,198;20,311;17,64
678,98;26,531;14,219;20,303;17,648
679,31;26,386;14,251;20,278;17,713
679,63;26,277;14,23;20,271;17,701
679,96;26,216;14,224;20,234;17,715
680,29;26,129;14,228;20,184;17,741
680,61;26,035;14,187;20,081;17,706
680,94;25,891;14,119;19,999;17,73
681,26;25,843;14,096;19,946;17,746
681,59;25,798;14,072;19,857;17,733
681,91;25,753;14,009;19,756;17,738
682,24;25,719;14,008;19,701;17,816
682,56;25,691;13,968;19,625;17,843
682,89;25,705;13,918;19,534;17,882
683,21;25,71;13,889;19,485;17,915
683,54;25,715;13,89;19,413;17,98
683,86;25,724;13,83;19,298;18,006
684,19;25,714;13,764;19,204;18,051
684,51;25,734;13,718;19,227;18,137
684,84;25,699;13,683;19,092;18,164
685,16;25,613;13,624;19,061;18,144
685,49;25,556;13,609;18,958;18,113
685,81;25,456;13,609;18,837;18,146
686,14;25,36;13,586;18,759;18,112
686,46;25,261;13,532;18,639;18,102
686,79;25,115;13,529;18,591;18,087
687,11;25,024;13,516;18,487;18,085
687,44;25,007;13,54;18,477;18,149
687,76;24,939;13,567;18,4;18,138
688,09;24,817;13,548;18,326;18,095
688,41;24,713;13,481;18,249;18,11
688,74;24,625;13,444;18,199;18,116
689,06;24,549;13,413;18,108;18,108
689,38;24,411;13,35;17,991;18,08
689,71;24,271;13,341;17,891;18,049
690,03;24,106;13,318;17,749;18,016
690,36;23,964;13,27;17,62;17,998
690,68;23,847;13,246;17,556;17,984
691,01;23,73;13,267;17,482;17,991
691,33;23,536;13,204;17,333;17,942
691,65;23,422;13,167;17,299;17,932
691,98;23,252;13,175;17,199;17,88
692,3;23,087;13,108;17,137;17,828
692,63;22,949;13,024;17,073;17,774
692,95;22,86;12,962;17,005;17,76
693,27;22,647;12,968;16,894;17,74
693,6;22,475;12,89;16,718;17,678
693,92;22,23;12,79;16,608;17,608
694,24;21,987;12,694;16,479;17,48
694,57;21,699;12,656;16,384;17,384
694,89;21,433;12,607;16,226;17,37
695,22;21,169;12,604;16,153;17,33
695,54;20,855;12,594;16,039;17,322
695,86;20,586;12,537;15,916;17,207
696,19;20,394;12,467;15,826;17,179
696,51;20,185;12,427;15,74;17,156
696,83;20,07;12,416;15,698;17,213
697,16;19,979;12,375;15,625;17,181
697,48;19,862;12,324;15,54;17,166
697,8;19,75;12,263;15,444;17,15
698,13;19,672;12,276;15,379;17,13
698,45;19,562;12,255;15,314;17,098
698,77;19,527;12,212;15,248;17,103
699,09;19,475;12,186;15,188;17,177
699,42;19,439;12,117;15,119;17,185
699,74;19,346;12,054;15,014;17,126
700,06;19,308;11,989;14,955;17,134
