wl;UV_control;Dor_paint;UV_paint;Dor_control
357,64;75,71;3,592;5,153;2,937
358;75,578;3,484;5,057;2,838
358,36;75,38;3,367;5,015;2,792
358,72;75,272;3,325;5,049;2,873
359,08;75,213;3,294;5,042;2,838
359,44;75,288;3,268;5,056;2,787
359,8;75,414;3,235;5,052;2,791
360,16;75,392;3,203;5,057;2,8
360,52;75,607;3,218;5,106;2,83
360,88;75,718;3,184;5,162;2,817
361,25;75,826;3,154;5,115;2,831
361,61;75,983;3,149;5,147;2,872
361,97;76,069;3,153;5,193;2,899
362,33;76,202;3,112;5,16;2,906
362,69;76,339;3,073;5,156;2,884
363,05;76,397;3,075;5,148;2,829
363,41;76,508;3,071;5,135;2,83
363,77;76,726;3,106;5,129;2,898
364,13;76,883;3,095;5,077;2,902
364,49;77,207;3,076;5,059;2,995
364,85;77,553;3,114;5,104;3,067
365,21;77,883;3,172;5,146;3,093
365,57;78,3;3,192;5,202;3,133
365,93;78,584;3,232;5,208;3,132
366,29;78,96;3,209;5,144;3,072
366,66;79,122;3,213;5,142;3,128
367,02;79,12;3,295;5,185;3,162
367,38;79,05;3,307;5,185;3,181
367,74;79,163;3,335;5,227;3,236
368,1;79,144;3,395;5,237;3,263
368,46;79,162;3,428;5,237;3,349
368,82;79,213;3,437;5,313;3,43
369,18;79,239;3,484;5,352;3,514
369,54;79,235;3,438;5,267;3,484
369,9;79,313;3,493;5,292;3,502
370,26;79,354;3,507;5,3;3,549
370,62;79,435;3,511;5,318;3,601
370,98;79,448;3,549;5,332;3,664
371,34;79,424;3,5;5,334;3,622
371,7;79,3;3,462;5,325;3,685
372,06;79,117;3,465;5,347;3,721
372,42;79,059;3,49;5,35;3,727
372,78;78,858;3,519;5,395;3,807
373,14;78,61;3,488;5,413;3,818
373,5;78,481;3,495;5,426;3,859
373,86;78,291;3,486;5,436;3,903
374,22;78,211;3,496;5,441;3,846
374,58;78,148;3,523;5,451;3,935
374,94;78,191;3,523;5,468;4,022
375,3;78,145;3,51;5,437;4,047
375,66;78,108;3,531;5,487;4,096
376,02;78,059;3,55;5,502;4,088
376,38;77,985;3,594;5,504;4,081
376,74;77,872;3,601;5,502;4,022
377,09;77,765;3,643;5,58;4,088
377,45;77,639;3,652;5,599;4,119
377,81;77,524;3,653;5,626;4,177
378,17;77,431;3,666;5,632;4,225
378,53;77,388;3,646;5,673;4,251
378,89;77,275;3,662;5,688;4,311
379,25;77,203;3,658;5,696;4,298
379,61;77,186;3,621;5,696;4,253
379,97;77,007;3,6;5,695;4,267
380,33;76,98;3,57;5,679;4,293
380,69;76,97;3,573;5,717;4,352
381,05;76,912;3,592;5,732;4,423
381,41;76,933;3,653;5,791;4,468
381,77;76,838;3,666;5,811;4,553
382,13;76,744;3,63;5,799;4,57
382,48;76,577;3,652;5,793;4,542
382,84;76,425;3,671;5,802;4,543
383,2;76,244;3,66;5,786;4,571
383,56;76,039;3,638;5,788;4,6
383,92;75,864;3,64;5,79;4,62
384,28;75,79;3,627;5,832;4,685
384,64;75,674;3,657;5,87;4,722
385;75,533;3,646;5,908;4,765
385,36;75,381;3,642;5,924;4,769
385,71;75,274;3,661;5,981;4,773
386,07;75,114;3,693;5,996;4,793
386,43;74,922;3,719;6,041;4,839
386,79;74,689;3,746;6,098;4,913
387,15;74,478;3,789;6,136;4,993
387,51;74,257;3,813;6,153;5,063
387,87;74,056;3,838;6,175;5,074
388,23;73,818;3,879;6,197;5,11
388,58;73,579;3,901;6,259;5,174
388,94;73,404;3,894;6,253;5,208
389,3;73,191;3,916;6,243;5,226
389,66;72,953;3,967;6,284;5,287
390,02;72,786;3,964;6,327;5,357
390,38;72,591;3,974;6,342;5,436
390,73;72,376;3,971;6,339;5,495
391,09;72,209;3,963;6,356;5,543
391,45;72,067;3,954;6,397;5,619
391,81;71,898;3,962;6,416;5,697
392,17;71,757;3,974;6,425;5,764
392,53;71,604;3,986;6,451;5,823
392,88;71,428;3,991;6,476;5,866
393,24;71,191;4;6,471;5,929
393,6;70,986;4,028;6,493;6,01
393,96;70,802;4,046;6,509;6,054
394,32;70,712;4,059;6,531;6,065
394,67;70,544;4,078;6,567;6,1
395,03;70,378;4,073;6,597;6,154
395,39;70,204;4,084;6,634;6,242
395,75;70,052;4,104;6,67;6,33
396,11;69,875;4,096;6,658;6,385
396,46;69,624;4,115;6,69;6,455
396,82;69,463;4,112;6,731;6,545
397,18;69,349;4,096;6,747;6,595
397,54;69,141;4,134;6,798;6,69
397,9;68,961;4,126;6,837;6,755
398,25;68,781;4,142;6,907;6,836
398,61;68,589;4,177;6,98;6,926
398,97;68,287;4,194;7,01;6,959
399,33;67,958;4,229;7,043;6,971
399,68;67,578;4,223;7,051;6,99
400,04;67,207;4,237;7,051;7,032
400,4;66,885;4,277;7,063;7,1
400,76;66,574;4,282;7,096;7,163
401,11;66,27;4,265;7,116;7,188
401,47;66,035;4,287;7,126;7,24
401,83;65,764;4,286;7,147;7,305
402,19;65,52;4,252;7,16;7,364
402,54;65,334;4,235;7,204;7,394
402,9;65,142;4,242;7,227;7,43
403,26;64,931;4,213;7,239;7,455
403,62;64,75;4,217;7,278;7,484
403,97;64,596;4,226;7,325;7,52
404,33;64,441;4,234;7,374;7,562
404,69;64,191;4,226;7,398;7,596
405,04;63,954;4,206;7,376;7,582
405,4;63,739;4,223;7,405;7,59
405,76;63,49;4,214;7,412;7,584
406,12;63,264;4,203;7,435;7,612
406,47;63,04;4,205;7,466;7,648
406,83;62,843;4,181;7,484;7,706
407,19;62,713;4,186;7,543;7,743
407,54;62,611;4,21;7,616;7,806
407,9;62,501;4,204;7,66;7,854
408,26;62,373;4,217;7,713;7,883
408,61;62,245;4,231;7,754;7,921
408,97;62,059;4,214;7,814;7,949
409,33;61,847;4,219;7,842;7,963
409,68;61,625;4,244;7,887;7,995
410,04;61,405;4,267;7,911;8,024
410,4;61,121;4,271;7,966;8,056
410,75;60,825;4,289;8,014;8,045
411,11;60,498;4,333;8,065;8,07
411,47;60,153;4,335;8,093;8,084
411,82;59,817;4,357;8,12;8,088
412,18;59,467;4,374;8,162;8,113
412,54;59,143;4,403;8,233;8,128
412,89;58,785;4,425;8,284;8,137
413,25;58,442;4,455;8,336;8,135
413,61;58,009;4,486;8,383;8,129
413,96;57,574;4,52;8,424;8,117
414,32;57,128;4,56;8,481;8,136
414,67;56,648;4,583;8,491;8,132
415,03;56,199;4,588;8,508;8,098
415,39;55,703;4,619;8,573;8,09
415,74;55,276;4,628;8,611;8,087
416,1;54,814;4,649;8,666;8,062
416,45;54,377;4,667;8,71;8,037
416,81;53,909;4,687;8,756;8,056
417,17;53,507;4,71;8,811;8,058
417,52;53,087;4,727;8,846;8,076
417,88;52,77;4,751;8,871;8,091
418,23;52,497;4,77;8,9;8,118
418,59;52,244;4,761;8,918;8,123
418,95;51,975;4,749;8,957;8,118
419,3;51,679;4,759;9,01;8,123
419,66;51,41;4,779;9,042;8,122
420,01;51,133;4,797;9,08;8,144
420,37;50,869;4,796;9,115;8,172
420,73;50,609;4,804;9,15;8,194
421,08;50,401;4,823;9,182;8,219
421,44;50,243;4,832;9,204;8,25
421,79;50,088;4,847;9,226;8,272
422,15;49,966;4,861;9,271;8,318
422,5;49,865;4,876;9,303;8,356
422,86;49,747;4,885;9,322;8,382
423,21;49,633;4,898;9,351;8,418
423,57;49,544;4,905;9,361;8,457
423,93;49,466;4,914;9,384;8,506
424,28;49,424;4,918;9,414;8,527
424,64;49,355;4,92;9,427;8,559
424,99;49,322;4,929;9,46;8,574
425,35;49,259;4,945;9,498;8,595
425,7;49,174;4,954;9,538;8,628
426,06;49,088;4,966;9,572;8,658
426,41;49,016;4,999;9,588;8,706
426,77;48,983;5,004;9,6;8,746
427,12;48,967;5,005;9,65;8,787
427,48;48,948;5,017;9,693;8,837
427,83;48,941;5,04;9,717;8,849
428,19;48,932;5,064;9,751;8,904
428,54;48,871;5,061;9,797;8,928
428,9;48,771;5,071;9,868;8,952
429,25;48,648;5,08;9,927;8,958
429,61;48,516;5,088;9,963;8,973
429,96;48,372;5,093;9,999;8,992
430,32;48,286;5,103;10,034;9,022
430,67;48,202;5,126;10,072;9,067
431,03;48,11;5,156;10,134;9,104
431,38;48,024;5,166;10,161;9,131
431,74;47,961;5,185;10,194;9,161
432,09;47,927;5,201;10,241;9,18
432,44;47,844;5,225;10,275;9,213
432,8;47,778;5,232;10,316;9,258
433,15;47,716;5,242;10,346;9,284
433,51;47,641;5,278;10,39;9,308
433,86;47,562;5,302;10,456;9,33
434,22;47,433;5,317;10,49;9,349
434,57;47,274;5,329;10,505;9,375
434,93;47,165;5,337;10,545;9,386
435,28;47,012;5,346;10,583;9,42
435,63;46,844;5,353;10,628;9,438
435,99;46,694;5,378;10,655;9,447
436,34;46,524;5,394;10,682;9,479
436,7;46,376;5,394;10,712;9,51
437,05;46,227;5,418;10,76;9,539
437,41;46,09;5,442;10,803;9,575
437,76;45,953;5,452;10,828;9,616
438,11;45,83;5,453;10,859;9,626
438,47;45,705;5,459;10,889;9,656
438,82;45,577;5,474;10,911;9,676
439,18;45,424;5,475;10,937;9,7
439,53;45,255;5,489;10,968;9,721
439,88;45,117;5,488;10,993;9,739
440,24;44,94;5,491;11,011;9,737
440,59;44,758;5,497;11,046;9,738
440,95;44,54;5,483;11,067;9,746
441,3;44,322;5,477;11,083;9,748
441,65;44,107;5,494;11,116;9,766
442,01;43,898;5,505;11,156;9,784
442,36;43,674;5,513;11,168;9,808
442,71;43,487;5,532;11,19;9,848
443,07;43,297;5,537;11,214;9,871
443,42;43,136;5,537;11,237;9,923
443,77;43;5,546;11,267;9,964
444,13;42,883;5,56;11,297;10,008
444,48;42,775;5,565;11,318;10,052
444,84;42,638;5,569;11,344;10,074
445,19;42,547;5,577;11,372;10,089
